Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
29,1980,0,0,0,0.935483871,0,63.87096774,49,6598,1,219,1,1.53125,219,206.1875,dns
29,1980,0,0,0,0.90625,0,61.875,49,6598,1,219,1,1.53125,219,206.1875,dns
29,1980,0,0,0,0.90625,0,61.875,49,6598,0,0,0,1.484848485,0,199.9393939,dns
29,1980,0,0,0,0.8787878788,0,60,49,6598,0,0,0,1.484848485,0,199.9393939,dns
29,1980,0,0,0,0.8787878788,0,60,50,6872,1,274,1,1.470588235,274,202.1176471,dns
29,1980,0,0,0,0.8529411765,0,58.23529412,50,6872,1,274,1,1.470588235,274,202.1176471,dns
29,1980,0,0,0,0.8529411765,0,58.23529412,50,6872,0,0,0,1.428571429,0,196.3428571,dns
29,1980,0,0,0,0.8285714286,0,56.57142857,50,6872,0,0,0,1.428571429,0,196.3428571,dns
29,1980,0,0,0,0.8285714286,0,56.57142857,51,6943,1,71,1,1.416666667,71,192.8611111,dns
30,2046,1,66,1,0.8333333333,66,56.83333333,51,6943,1,71,1,1.416666667,71,192.8611111,dns
30,2046,1,66,1,0.8333333333,66,56.83333333,61,7744,10,801,10,1.648648649,801,209.2972973,dns
39,2662,9,616,9,1.054054054,616,71.94594595,61,7744,10,801,10,1.648648649,801,209.2972973,dns
39,2662,9,616,9,1.054054054,616,71.94594595,61,7744,0,0,0,1.605263158,0,203.7894737,dns
39,2662,0,0,0,1.026315789,0,70.05263158,61,7744,0,0,0,1.605263158,0,203.7894737,dns
39,2662,0,0,0,1.026315789,0,70.05263158,62,7910,1,166,1,1.58974359,166,202.8205128,dns
39,2662,0,0,0,1,0,68.25641026,62,7910,1,166,1,1.58974359,166,202.8205128,dns
39,2662,0,0,0,1,0,68.25641026,63,8246,1,336,1,1.575,336,206.15,dns
39,2662,0,0,0,0.975,0,66.55,63,8246,1,336,1,1.575,336,206.15,dns
39,2662,0,0,0,0.975,0,66.55,63,8246,0,0,0,1.536585366,0,201.1219512,dns
39,2662,0,0,0,0.9512195122,0,64.92682927,63,8246,0,0,0,1.536585366,0,201.1219512,dns
39,2662,0,0,0,0.9512195122,0,64.92682927,64,8507,1,261,1,1.523809524,261,202.547619,dns
39,2662,0,0,0,0.9285714286,0,63.38095238,64,8507,1,261,1,1.523809524,261,202.547619,dns
39,2662,0,0,0,0.9285714286,0,63.38095238,64,8507,0,0,0,1.488372093,0,197.8372093,dns
39,2662,0,0,0,0.9069767442,0,61.90697674,64,8507,0,0,0,1.488372093,0,197.8372093,dns
39,2662,0,0,0,0.9069767442,0,61.90697674,65,8750,1,243,1,1.477272727,243,198.8636364,dns
39,2662,0,0,0,0.8863636364,0,60.5,65,8750,1,243,1,1.477272727,243,198.8636364,dns
39,2662,0,0,0,0.8863636364,0,60.5,65,8750,0,0,0,1.444444444,0,194.4444444,dns
39,2662,0,0,0,0.8666666667,0,59.15555556,65,8750,0,0,0,1.444444444,0,194.4444444,dns
39,2662,0,0,0,0.8666666667,0,59.15555556,66,9046,1,296,1,1.434782609,296,196.6521739,dns
39,2662,0,0,0,0.847826087,0,57.86956522,66,9046,1,296,1,1.434782609,296,196.6521739,dns
39,2662,0,0,0,0.847826087,0,57.86956522,67,9117,1,71,1,1.425531915,71,193.9787234,dns
39,2662,0,0,0,0.829787234,0,56.63829787,67,9117,1,71,1,1.425531915,71,193.9787234,dns
39,2662,0,0,0,0.829787234,0,56.63829787,71,9630,4,513,4,1.479166667,513,200.625,dns
