Forward Packets,Forward Bytes,Delta Forward Packets,Delta Forward Bytes,Forward Instantaneous Packets per Second,Forward Average Packets per second,Forward Instantaneous Bytes per Second,Forward Average Bytes per second,Reverse Packets,Reverse Bytes,Delta Reverse Packets,Delta Reverse Bytes,DeltaReverse Instantaneous Packets per Second,Reverse Average Packets per second,Reverse Instantaneous Bytes per Second,Reverse Average Bytes per second,Traffic Type
35,3374,1,98,1,1.029411765,98,99.23529412,33,3178,1,98,1,1,98,96.3030303,ping
35,3374,1,98,1,1.029411765,98,99.23529412,34,3276,1,98,1,1,98,96.35294118,ping
36,3472,1,98,1,1.028571429,98,99.2,34,3276,1,98,1,1,98,96.35294118,ping
36,3472,1,98,1,1.028571429,98,99.2,35,3374,1,98,1,1,98,96.4,ping
37,3570,1,98,1,1.027777778,98,99.16666667,35,3374,1,98,1,1,98,96.4,ping
37,3570,1,98,1,1.027777778,98,99.16666667,36,3472,1,98,1,1,98,96.44444444,ping
38,3668,1,98,1,1.027027027,98,99.13513514,36,3472,1,98,1,1,98,96.44444444,ping
38,3668,1,98,1,1.027027027,98,99.13513514,37,3570,1,98,1,1,98,96.48648649,ping
39,3766,1,98,1,1.026315789,98,99.10526316,37,3570,1,98,1,1,98,96.48648649,ping
39,3766,1,98,1,1.026315789,98,99.10526316,38,3668,1,98,1,1,98,96.52631579,ping
40,3864,1,98,1,1.025641026,98,99.07692308,38,3668,1,98,1,1,98,96.52631579,ping
40,3864,1,98,1,1.025641026,98,99.07692308,39,3766,1,98,1,1,98,96.56410256,ping
41,3962,1,98,1,1.025,98,99.05,39,3766,1,98,1,1,98,96.56410256,ping
41,3962,1,98,1,1.025,98,99.05,40,3864,1,98,1,1,98,96.6,ping
42,4060,1,98,1,1.024390244,98,99.02439024,40,3864,1,98,1,1,98,96.6,ping
42,4060,1,98,1,1.024390244,98,99.02439024,41,3962,1,98,1,1,98,96.63414634,ping
43,4158,1,98,1,1.023809524,98,99,41,3962,1,98,1,1,98,96.63414634,ping
43,4158,1,98,1,1.023809524,98,99,42,4060,1,98,1,1,98,96.66666667,ping
44,4256,1,98,1,1.023255814,98,98.97674419,42,4060,1,98,1,1,98,96.66666667,ping
44,4256,1,98,1,1.023255814,98,98.97674419,43,4158,1,98,1,1,98,96.69767442,ping
46,4396,2,140,2,1.045454545,140,99.90909091,43,4158,1,98,1,1,98,96.69767442,ping
46,4396,2,140,2,1.045454545,140,99.90909091,45,4298,2,140,2,1.022727273,140,97.68181818,ping
47,4494,1,98,1,1.044444444,98,99.86666667,45,4298,2,140,2,1.022727273,140,97.68181818,ping
47,4494,1,98,1,1.044444444,98,99.86666667,46,4396,1,98,1,1.022222222,98,97.68888889,ping
48,4592,1,98,1,1.043478261,98,99.82608696,46,4396,1,98,1,1.022222222,98,97.68888889,ping
48,4592,1,98,1,1.043478261,98,99.82608696,47,4494,1,98,1,1.02173913,98,97.69565217,ping
49,4690,1,98,1,1.042553191,98,99.78723404,47,4494,1,98,1,1.02173913,98,97.69565217,ping
49,4690,1,98,1,1.042553191,98,99.78723404,48,4592,1,98,1,1.021276596,98,97.70212766,ping
50,4788,1,98,1,1.041666667,98,99.75,48,4592,1,98,1,1.021276596,98,97.70212766,ping
50,4788,1,98,1,1.041666667,98,99.75,49,4690,1,98,1,1.020833333,98,97.70833333,ping
51,4886,1,98,1,1.040816327,98,99.71428571,49,4690,1,98,1,1.020833333,98,97.70833333,ping
51,4886,1,98,1,1.040816327,98,99.71428571,50,4788,1,98,1,1.020408163,98,97.71428571,ping
52,4984,1,98,1,1.04,98,99.68,50,4788,1,98,1,1.020408163,98,97.71428571,ping
52,4984,1,98,1,1.04,98,99.68,51,4886,1,98,1,1.02,98,97.72,ping
53,5082,1,98,1,1.039215686,98,99.64705882,51,4886,1,98,1,1.02,98,97.72,ping
53,5082,1,98,1,1.039215686,98,99.64705882,52,4984,1,98,1,1.019607843,98,97.7254902,ping
54,5180,1,98,1,1.038461538,98,99.61538462,52,4984,1,98,1,1.019607843,98,97.7254902,ping
54,5180,1,98,1,1.038461538,98,99.61538462,53,5082,1,98,1,1.019230769,98,97.73076923,ping
55,5278,1,98,1,1.037735849,98,99.58490566,53,5082,1,98,1,1.019230769,98,97.73076923,ping
55,5278,1,98,1,1.037735849,98,99.58490566,54,5180,1,98,1,1.018867925,98,97.73584906,ping
56,5376,1,98,1,1.037037037,98,99.55555556,54,5180,1,98,1,1.018867925,98,97.73584906,ping
56,5376,1,98,1,1.037037037,98,99.55555556,55,5278,1,98,1,1.018518519,98,97.74074074,ping
